id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope
0,611,38.68054705882353,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
1,612,38.68054705882353,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
2,613,38.68054705882353,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
3,614,38.68054705882353,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
4,615,38.68054705882353,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
5,616,38.68054705882353,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
6,617,38.68054705882353,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
7,618,38.68054705882353,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
8,619,38.68054705882353,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
9,759,38.68135751633987,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
10,760,38.68135751633987,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
11,761,38.68135751633987,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
12,762,38.68135751633987,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
13,763,38.68135751633987,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
14,764,38.68135751633987,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
15,765,38.68135751633987,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
16,766,38.68135751633987,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
17,767,38.68135751633987,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
18,768,38.68135751633987,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
19,769,38.68135751633987,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
20,770,38.68135751633987,-9.221511666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
21,771,38.68135751633987,-9.220468333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
22,772,38.68135751633987,-9.219425000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
23,773,38.68135751633987,-9.218381666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
24,774,38.68135751633987,-9.217338333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
25,775,38.68135751633987,-9.216295,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
26,776,38.68135751633987,-9.215251666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
27,777,38.68135751633987,-9.214208333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
28,778,38.68135751633987,-9.213165000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
29,779,38.68135751633987,-9.212121666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
30,780,38.68135751633987,-9.211078333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
31,781,38.68135751633987,-9.210035000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
32,906,38.68216797385621,-9.236118333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
33,907,38.68216797385621,-9.235075000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
34,908,38.68216797385621,-9.234031666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
35,909,38.68216797385621,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
36,910,38.68216797385621,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
37,911,38.68216797385621,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
38,912,38.68216797385621,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
39,913,38.68216797385621,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
40,914,38.68216797385621,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
41,915,38.68216797385621,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
42,916,38.68216797385621,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
43,917,38.68216797385621,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
44,918,38.68216797385621,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
45,919,38.68216797385621,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
46,920,38.68216797385621,-9.221511666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
47,921,38.68216797385621,-9.220468333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
48,922,38.68216797385621,-9.219425000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
49,923,38.68216797385621,-9.218381666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
50,924,38.68216797385621,-9.217338333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
51,925,38.68216797385621,-9.216295,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
52,926,38.68216797385621,-9.215251666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
53,927,38.68216797385621,-9.214208333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
54,928,38.68216797385621,-9.213165000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
55,929,38.68216797385621,-9.212121666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
56,930,38.68216797385621,-9.211078333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
57,931,38.68216797385621,-9.210035000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
58,932,38.68216797385621,-9.208991666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
59,933,38.68216797385621,-9.207948333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
60,934,38.68216797385621,-9.206905,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
61,1055,38.682978431372554,-9.237161666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
62,1056,38.682978431372554,-9.236118333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
63,1057,38.682978431372554,-9.235075000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
64,1058,38.682978431372554,-9.234031666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
65,1059,38.682978431372554,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
66,1060,38.682978431372554,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
67,1061,38.682978431372554,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
68,1062,38.682978431372554,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
69,1063,38.682978431372554,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
70,1064,38.682978431372554,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
71,1065,38.682978431372554,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
72,1066,38.682978431372554,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
73,1067,38.682978431372554,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
74,1068,38.682978431372554,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
75,1069,38.682978431372554,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
76,1070,38.682978431372554,-9.221511666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
77,1071,38.682978431372554,-9.220468333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
78,1072,38.682978431372554,-9.219425000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
79,1073,38.682978431372554,-9.218381666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
80,1074,38.682978431372554,-9.217338333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
81,1075,38.682978431372554,-9.216295,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
82,1076,38.682978431372554,-9.215251666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
83,1077,38.682978431372554,-9.214208333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
84,1078,38.682978431372554,-9.213165000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
85,1079,38.682978431372554,-9.212121666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
86,1080,38.682978431372554,-9.211078333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
87,1081,38.682978431372554,-9.210035000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
88,1082,38.682978431372554,-9.208991666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
89,1083,38.682978431372554,-9.207948333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
90,1084,38.682978431372554,-9.206905,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
91,1085,38.682978431372554,-9.205861666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
92,1086,38.682978431372554,-9.204818333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
93,1206,38.68378888888889,-9.236118333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
94,1207,38.68378888888889,-9.235075000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
95,1208,38.68378888888889,-9.234031666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
96,1209,38.68378888888889,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
97,1210,38.68378888888889,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
