id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope,hrdiff
0,654,41.13886874999999,-8.594975531914894,2.3175284244787457,1,1.0,1.317528424478746,5004.967901871811,0.4566029379856017,3,True,False,0,False,True,0.55,-1,0.6333333333333333,0
1,655,41.13886874999999,-8.593896808510639,2.3175284244787457,1,1.0,1.317528424478746,4953.254453308261,0.45188512300448,3,True,True,1,True,True,1,-1,0.6333333333333333,0
2,656,41.13886874999999,-8.592818085106384,2.3171957572858464,1,1.0,1.3171957572858464,4902.662953992484,0.4472696633896359,3,True,False,0,False,True,0.55,0,0.6222222222222222,0
3,657,41.13886874999999,-8.591739361702128,2.5734691451641734,1,1.0,1.5734691451641736,4853.228490658742,0.4427597601018473,3,True,False,0,False,True,0.55,0,0.4444444444444444,0
4,773,41.139684027777776,-8.61870744680851,3.3729678144783914,1,1.0,2.3729678144783914,6307.290145360597,0.5754137224381032,2,True,False,0,False,True,0.10000000000000003,1,0.022222222222222223,0
5,774,41.139684027777776,-8.617628723404255,3.2940137906423352,1,1.0,2.2940137906423352,6237.570158317546,0.5690531719721812,2,True,False,0,False,True,0.55,3,0.03333333333333333,0
6,775,41.139684027777776,-8.61655,2.9203841660803773,1,1.0,1.920384166080377,6168.387322250806,0.5627416257593802,2,True,False,0,False,True,0.55,3,0.2111111111111111,0
7,776,41.139684027777776,-8.615471276595745,2.496730149424147,1,1.0,1.4967301494241474,6099.759914128582,0.5564807512064733,3,True,True,1,True,True,1,22,0.24444444444444444,0
8,777,41.139684027777776,-8.61439255319149,2.8322698538770332,1,1.0,1.8322698538770332,6031.706892594889,0.5502722779094796,2,True,False,0,False,True,0.55,13,0.14444444444444443,0
9,778,41.139684027777776,-8.613313829787234,2.8322698538770332,1,1.0,1.8322698538770332,5964.247919221163,0.5441179995924468,2,True,False,0,False,True,0.10000000000000003,13,0.14444444444444443,0
10,779,41.139684027777776,-8.612235106382979,2.8739158952945285,1,1.0,1.8739158952945285,5897.403379573389,0.5380197760294038,2,True,False,0,False,True,0.10000000000000003,12,0.13333333333333333,0
11,780,41.139684027777776,-8.611156382978724,2.511252380524684,1,0.6373364852301556,1.8739158952945285,5831.194403954455,0.5319795349366854,3,True,False,0,False,False,0.55,12,0.13333333333333333,12
12,794,41.139684027777776,-8.59605425531915,2.315201517307818,1,1.0,1.3152015173078178,4984.761626787209,0.4547595206550083,3,True,False,0,False,True,0.55,6,0.5555555555555556,0
13,795,41.139684027777776,-8.594975531914894,1.6893751323632342,1,1.0,0.6893751323632342,4931.179644022931,0.44987123940467033,3,True,False,0,True,True,1,56,0.6333333333333333,0
14,796,41.139684027777776,-8.593896808510639,1.6893751323632342,1,1.0,0.6893751323632342,4878.684767927152,0.4450821348340779,3,True,False,0,True,True,1,56,0.6333333333333333,0
15,797,41.139684027777776,-8.592818085106384,1.9877025025330481,1,1.0,0.9877025025330481,4827.312464042773,0.44039544246269946,3,True,False,0,True,True,1,40,0.45555555555555555,0
16,798,41.139684027777776,-8.591739361702128,1.9987381705145342,1,1.0,0.9987381705145342,4777.0989485041055,0.43581446628641535,3,True,False,0,True,True,1,40,0.4444444444444444,0
17,799,41.139684027777776,-8.590660638297873,2.2036697281622577,1,0.6373364852301556,1.566333242932102,4728.081141410964,0.43134257452383895,3,True,False,0,False,False,0.55,18,0.24444444444444444,18
18,800,41.139684027777776,-8.589581914893618,2.583833991966383,1,1.0,1.583833991966383,4680.296611698508,0.42698319458679523,3,True,False,0,False,True,0.55,18,0.23333333333333334,0
19,913,41.14049930555555,-8.619786170212766,3.3994811470498654,1,1.0,2.3994811470498654,6321.074567027527,0.5766712744454194,2,True,False,0,False,True,0.55,1,0.011111111111111112,0
20,914,41.14049930555555,-8.61870744680851,3.3729678144783914,1,1.0,2.3729678144783914,6250.201523701396,0.570205530720152,2,True,False,0,False,True,0.55,1,0.022222222222222223,0
