pair,spearman,top10_overlap
S1 / S2,0.7384100118307463,0.5717703349282297
S1 / S3,0.6603635124241267,0.41442411194833156
S1 / S4,0.6969679896547186,0.42207792207792205
S2 / S3,0.6744487780641768,0.49148694665153236
S2 / S4,0.868363826963214,0.7312252964426877
S3 / S4,0.6969258095551806,0.4797297297297297
