scenario_set,mean_spearman,max_spearman,most_similar_pair,mean_top10_overlap,max_top10_overlap
Article (default windows),0.8891404108679578,0.9948703788478281,Mon 08:40 / Mon 17:30,0.7098746530081198,0.9553571428571429
Revised (T1g regimes),0.7225799880820271,0.868363826963214,Mon 11:00 / Sat 11:00,0.5184523902964056,0.7312252964426877
