id,id,lat,lon,risk,risk_all_pois,risk_river,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob
0,787,41.13857727223259,-8.594406208512977,0.39279794649224403,17584.787610036783,0,None,None,3,True,False,0,False,True,0
1,788,41.13857727223259,-8.593209280013083,0.41052830401018525,18378.195677544503,0,None,None,3,True,False,0,True,True,0
2,906,41.13948364605137,-8.618344778510867,0.047178515358518906,2118.813803730359,0,None,None,1,True,False,0,False,True,0
3,907,41.13948364605137,-8.617147850010973,0.029027887288946154,1306.599231849391,0,None,None,1,True,False,0,True,True,0
4,908,41.13948364605137,-8.615950921511077,0.018722819168292437,845.462214455921,0,None,None,1,True,False,0,False,True,0
5,909,41.13948364605137,-8.614753993011183,0.03854555580706786,1732.5012464309257,0,None,None,1,True,False,0,False,True,0
6,910,41.13948364605137,-8.613557064511289,0.061023308485002634,2738.348437953749,0,None,None,1,True,False,0,False,False,0
7,911,41.13948364605137,-8.612360136011395,0.08125614149579244,3643.738694357399,0,None,None,1,True,False,0,False,False,0
8,912,41.13948364605137,-8.611163207511499,0.09834619422660007,4408.494041057797,0,None,None,1,True,False,0,False,True,0
9,925,41.13948364605137,-8.595603137012871,0.348616400518216,15607.726799205066,0,None,None,2,True,False,0,False,False,0
10,926,41.13948364605137,-8.594406208512977,0.3640842150933005,16299.88931528334,0,None,None,2,True,False,0,True,False,0
11,927,41.13948364605137,-8.593209280013083,0.3801142933119536,17017.2123229322,0,None,None,3,True,False,0,False,False,0
12,928,41.13948364605137,-8.592012351513189,0.3974302486889802,17792.07648902894,0,None,None,3,True,False,0,False,False,0
13,929,41.13948364605137,-8.590815423013293,0.41654278450055,18647.335052658316,0,None,None,3,True,False,0,False,False,0
14,930,41.13948364605137,-8.589618494513399,0.43767222485392265,19592.847201599783,0,None,None,3,True,False,0,False,True,0
15,1044,41.140390019870146,-8.619541707010761,0.05236236044694538,2350.783436023787,0,None,None,1,True,False,0,False,True,0
16,1045,41.140390019870146,-8.618344778510867,0.026906674744543575,1211.6780130344523,0,None,None,1,True,False,0,True,False,0
17,1046,41.140390019870146,-8.617147850010973,0.010914824042604876,496.06563192717726,0,None,None,1,True,False,0,True,False,0
18,1047,41.140390019870146,-8.615950921511077,0.00444294007768402,206.45810740060418,0,None,None,1,True,False,0,True,True,0
19,1048,41.140390019870146,-8.614753993011183,0.024373294165410238,1098.3128658557862,0,None,None,1,True,False,0,True,False,0
20,1049,41.140390019870146,-8.613557064511289,0.0436933423318826,1962.8573097230894,0,None,None,1,True,False,0,True,False,0
21,1050,41.140390019870146,-8.612360136011395,0.06436769814712921,2888.0050783308893,0,None,None,1,True,False,0,False,False,0
22,1051,41.140390019870146,-8.611163207511499,0.07932471038329465,3557.3099224084676,0,None,None,1,True,False,0,False,False,0
23,1052,41.140390019870146,-8.609966279011605,0.08778556960082694,3935.9212366160036,0,None,None,1,True,False,0,True,False,0
24,1053,41.140390019870146,-8.60876935051171,0.09704655002879238,4350.336827341897,0,None,None,1,True,False,0,True,True,0
25,1054,41.140390019870146,-8.607572422011817,0.11336284703290994,5080.467715104285,0,None,None,1,True,False,0,True,True,0
26,1062,41.140390019870146,-8.59799699401266,0.29393772016358527,13160.934281336116,0,None,None,2,True,False,0,True,True,0
27,1063,41.140390019870146,-8.596800065512767,0.308385345461872,13807.444790579384,0,None,None,2,True,False,0,True,False,0
28,1064,41.140390019870146,-8.595603137012871,0.3215612547197473,14397.047831091664,0,None,None,2,True,False,0,True,False,0
29,1065,41.140390019870146,-8.594406208512977,0.3344824205297927,14975.251467703127,0,None,None,2,True,False,0,False,False,0
30,1066,41.140390019870146,-8.593209280013083,0.3483100511352243,15594.018103726381,0,None,None,2,True,False,0,True,False,0
31,1067,41.140390019870146,-8.592012351513189,0.3640818852074102,16299.785056231603,0,None,None,2,True,False,0,True,False,0
32,1068,41.140390019870146,-8.590815423013293,0.3824575296113559,17122.06878632508,0,None,None,3,True,False,0,True,False,0
33,1069,41.140390019870146,-8.589618494513399,0.40360833537531376,18068.5370067449,0,None,None,3,True,False,0,True,False,0
34,1070,41.140390019870146,-8.588421566013505,0.4272883535145305,19128.18385319864,0,None,None,3,True,False,0,True,True,0
35,1182,41.141296393688926,-8.620738635510655,0.06686201301048675,2999.622090762237,0,None,None,1,True,False,0,True,False,0
36,1183,41.141296393688926,-8.619541707010761,0.044859873966100534,2015.0579271474662,0,None,None,1,True,False,0,False,False,0
37,1184,41.141296393688926,-8.618344778510867,0.01980391399968295,893.8396574994796,0,None,None,1,True,False,0,True,False,0
38,1185,41.141296393688926,-8.617147850010973,0.003883286076880583,181.4143936006368,0,None,None,1,True,False,0,True,False,0
