id,id,lat,lon,risk,risk_all_pois,risk_river,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob
0,2060,38.680559805206016,-9.230507289980862,0.8321764180322615,52170.19183358185,0,None,None,3,True,False,0,False,False,0
1,2061,38.680559805206016,-9.229348486108446,0.826346924363983,51804.845134254654,0,None,None,3,True,False,0,False,False,0
2,2062,38.680559805206016,-9.22818968223603,0.8246449288898328,51698.17747765622,0,None,None,3,True,False,0,False,False,0
3,2063,38.680559805206016,-9.227030878363614,0.8265196241626449,51815.66859594892,0,None,None,3,True,False,0,False,False,0
4,2064,38.680559805206016,-9.225872074491198,0.8313540920408755,52118.65492423435,0,None,None,3,True,False,0,False,False,0
5,2065,38.680559805206016,-9.224713270618782,0.8385247038676,52568.0523354205,0,None,None,3,True,False,0,False,False,0
6,2066,38.680559805206016,-9.223554466746366,0.8474471033246737,53127.23798295947,0,None,None,3,True,False,0,False,False,0
7,2067,38.680559805206016,-9.22239566287395,0.8576023014104223,53763.68572829818,0,None,None,3,True,False,0,False,False,0
8,2214,38.681463498420946,-9.23398370159811,0.903145230786703,56617.95744933249,0,None,None,3,True,False,0,False,False,0
9,2215,38.681463498420946,-9.232824897725694,0.8831826927405758,55366.86296319679,0,None,None,3,True,False,0,False,False,0
10,2216,38.681463498420946,-9.231666093853278,0.8670821058334436,54357.8051241326,0,None,None,3,True,False,0,False,False,0
11,2217,38.681463498420946,-9.230507289980862,0.8547889841010811,53587.369181507696,0,None,None,3,True,False,0,False,False,0
12,2218,38.681463498420946,-9.229348486108446,0.8461244523894718,53044.34465104498,0,None,None,3,True,False,0,False,False,0
13,2219,38.681463498420946,-9.22818968223603,0.8408064385881482,52711.05347691393,0,None,None,3,True,False,0,False,False,0
14,2220,38.681463498420946,-9.227030878363614,0.8384834239896066,52565.46523814727,0,None,None,3,True,False,0,False,False,0
15,2221,38.681463498420946,-9.225872074491198,0.8387724173101924,52583.577060856354,0,None,None,3,True,False,0,False,False,0
16,2222,38.681463498420946,-9.224713270618782,0.8412917446615237,52741.468635100995,0,None,None,3,True,False,0,False,False,0
17,2223,38.681463498420946,-9.223554466746366,0.8456814857762903,53016.58299638899,0,None,None,3,True,False,0,False,False,0
18,2224,38.681463498420946,-9.22239566287395,0.8516090801949076,53388.07787725258,0,None,None,3,True,False,0,False,False,0
19,2225,38.681463498420946,-9.221236859001534,0.8587628057515031,53836.41699017019,0,None,None,3,True,False,0,False,False,0
20,2226,38.681463498420946,-9.220078055129118,0.8668393905950735,54342.59364672807,0,None,None,3,True,False,0,False,False,0
21,2227,38.681463498420946,-9.218919251256702,0.8755327471615718,54887.42469181993,0,None,None,3,True,False,0,False,False,0
22,2228,38.681463498420946,-9.217760447384286,0.8845288847082823,55451.23166141473,0,None,None,3,True,False,0,False,False,0
23,2229,38.681463498420946,-9.21660164351187,0.8935087444308362,56014.018465337125,0,None,None,3,True,False,0,False,False,0
24,2230,38.681463498420946,-9.215442839639454,0.9021575893188992,56556.05986938584,0,None,None,3,True,False,0,False,False,0
25,2231,38.681463498420946,-9.214284035767038,0.9101777628888531,57058.70111209932,0,None,None,3,True,False,0,False,False,0
26,2232,38.681463498420946,-9.213125231894622,0.917301362391778,57505.15216150771,0,None,None,3,True,False,0,False,False,0
27,2233,38.681463498420946,-9.211966428022206,0.9233002310466873,57881.11394952621,0,None,None,3,True,False,0,False,False,0
28,2234,38.681463498420946,-9.21080762414979,0.9279919801906139,58175.15579283967,0,None,None,3,True,False,0,False,False,0
29,2235,38.681463498420946,-9.209648820277375,0.9312419388271257,58378.83757523196,0,None,None,3,True,False,0,False,False,0
30,2236,38.681463498420946,-9.208490016404959,0.9329617051454007,58486.61896822237,0,None,None,3,True,False,0,False,False,0
31,2369,38.682367191635876,-9.23630130934294,0.9673526233107415,60641.97055680202,0,None,None,3,True,False,0,False,False,0
32,2370,38.682367191635876,-9.235142505470524,0.9410319138688867,58992.39601984715,0,None,None,3,True,False,0,False,False,0
33,2371,38.682367191635876,-9.23398370159811,0.9176230542372007,57525.31326993556,0,None,None,3,True,False,0,False,False,0
34,2372,38.682367191635876,-9.232824897725694,0.8972342637252945,56247.50464011705,0,None,None,3,True,False,0,False,True,0
35,2373,38.682367191635876,-9.231666093853278,0.879900601863654,55161.16738532864,0,None,None,3,True,False,0,False,False,0
36,2374,38.682367191635876,-9.230507289980862,0.8655821212198022,54263.79791547613,0,None,None,3,True,False,0,False,False,0
37,2375,38.682367191635876,-9.229348486108446,0.8541731420347083,53548.77305651652,0,None,None,3,True,False,0,False,False,0
38,2376,38.682367191635876,-9.22818968223603,0.8455210568976057,53006.528579206395,0,None,None,3,True,False,0,False,False,0
