id,id,lat,lon,risk,risk_all_pois,risk_river,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob
0,2060,38.680559805206016,-9.230507289980862,0.7958368512051953,25807.522309434004,0,None,None,3,True,False,0,False,False,0
1,2061,38.680559805206016,-9.229348486108446,0.7993311767917359,25920.805550733374,0,None,None,3,True,False,0,False,False,0
2,2062,38.680559805206016,-9.22818968223603,0.8059172897783988,26134.322067215653,0,None,None,3,True,False,0,False,False,0
3,2063,38.680559805206016,-9.227030878363614,0.8143258198933739,26406.919889713005,0,None,None,3,True,False,0,False,False,0
4,2064,38.680559805206016,-9.225872074491198,0.8235614060735912,26706.330208495132,0,None,None,3,True,False,0,False,False,0
5,2065,38.680559805206016,-9.224713270618782,0.8329207021063942,27009.75110177426,0,None,None,3,True,False,0,False,False,0
6,2066,38.680559805206016,-9.223554466746366,0.8419557123169572,27302.65890800956,0,None,None,3,True,False,0,False,False,0
7,2067,38.680559805206016,-9.22239566287395,0.8504153392338163,27576.913247964738,0,None,None,3,True,False,0,False,False,0
8,2214,38.681463498420946,-9.23398370159811,0.8638366974740556,28012.022949805523,0,None,None,3,True,False,0,False,False,0
9,2215,38.681463498420946,-9.232824897725694,0.8473229818637502,27476.661494812026,0,None,None,3,True,False,0,False,False,0
10,2216,38.681463498420946,-9.231666093853278,0.8360187480709537,27110.1872746116,0,None,None,3,True,False,0,False,False,0
11,2217,38.681463498420946,-9.230507289980862,0.8291720385302038,26888.222426230277,0,None,None,3,True,False,0,False,False,0
12,2218,38.681463498420946,-9.229348486108446,0.8258515832261902,26780.575920456115,0,None,None,3,True,False,0,False,False,0
13,2219,38.681463498420946,-9.22818968223603,0.8251028609276795,26756.302942249644,0,None,None,3,True,False,0,False,False,0
14,2220,38.681463498420946,-9.227030878363614,0.8260784797152442,26787.93172319484,0,None,None,3,True,False,0,False,False,0
15,2221,38.681463498420946,-9.225872074491198,0.8281126346023999,26853.877398036802,0,None,None,3,True,False,0,False,False,0
16,2222,38.681463498420946,-9.224713270618782,0.8307381756029761,26938.99533777754,0,None,None,3,True,False,0,False,False,0
17,2223,38.681463498420946,-9.223554466746366,0.8336625170337413,27033.80014853104,0,None,None,3,True,False,0,False,False,0
18,2224,38.681463498420946,-9.22239566287395,0.8367230168187884,27133.019104252166,0,None,None,3,True,False,0,False,False,0
19,2225,38.681463498420946,-9.221236859001534,0.8398392010291033,27234.043304512757,0,None,None,3,True,False,0,False,False,0
20,2226,38.681463498420946,-9.220078055129118,0.8429732772324696,27335.647548880854,0,None,None,3,True,False,0,False,False,0
21,2227,38.681463498420946,-9.218919251256702,0.8461040042592578,27437.143215622433,0,None,None,3,True,False,0,False,False,0
22,2228,38.681463498420946,-9.217760447384286,0.8492132259468523,27537.94169646397,0,None,None,3,True,False,0,False,False,0
23,2229,38.681463498420946,-9.21660164351187,0.8522803663365431,27637.375935277523,0,None,None,3,True,False,0,False,False,0
24,2230,38.681463498420946,-9.215442839639454,0.8552789882720236,27734.588860595944,0,None,None,3,True,False,0,False,False,0
25,2231,38.681463498420946,-9.214284035767038,0.8581713334842939,27828.35637953143,0,None,None,3,True,False,0,False,False,0
26,2232,38.681463498420946,-9.213125231894622,0.860900440281175,27916.831839572602,0,None,None,3,True,False,0,False,False,0
27,2233,38.681463498420946,-9.211966428022206,0.8633828526223358,27997.309662627056,0,None,None,3,True,False,0,False,False,0
28,2234,38.681463498420946,-9.21080762414979,0.8655061386692432,28066.144898394974,0,None,None,3,True,False,0,False,False,0
29,2235,38.681463498420946,-9.209648820277375,0.8671338522787571,28118.91407202409,0,None,None,3,True,False,0,False,False,0
30,2236,38.681463498420946,-9.208490016404959,0.8681173471593696,28150.79818960783,0,None,None,3,True,False,0,False,False,0
