table,regime,evaluation_time,state_id,days,first_hm,last_hm,n_slots,label,vuln_mean,w_vuln,cri_iqr,cri_std,cri_gvf5
T1g,weekday morning rush,2023-11-06 08:30:00,S02,"Mon,Tue,Wed,Thu,Fri",08:15,08:45,10,"bus_station=0.5, hospital=0.8, industrial=0.6, school=0.4, station=0.7, university=0.8",0.5215288933770457,0.15768280334023851,0.20785747670623045,0.17721543621353855,0.9427557319882874
T1g,weekday late morning,2023-11-06 11:00:00,S04,"Mon,Tue,Wed,Thu,Fri",10:15,15:45,40,"attraction=0.5, bus_station=0.2, hospital=0.4, industrial=0.2, station=0.3, university=0.6",0.34085303943037293,0.24383946671041445,0.2137859227205321,0.18682225343868844,0.9365033430783956
T1g,weekday night,2023-11-06 21:00:00,S09,"Mon,Tue,Wed,Thu,Fri",20:15,21:45,20,"bus_station=0.2, hospital=0.2, station=0.3",0.11280480697070885,0.3790828092400466,0.2698075820741137,0.18534921109754784,0.9332344615947695
T1g,saturday daytime,2023-11-11 11:00:00,S11,"Sat,Sun",09:15,16:45,32,"attraction=0.7, hospital=0.2, mall=0.2, station=0.3",0.35516932378464794,0.34382106724180306,0.2392172800735869,0.18440270607496992,0.9377840037742216
